student_email,student_roll,university,department,semester,course_code,course_title,course_type,credits,attendance_10,assignments_10,final_60,total_80,letter_grade,grade_point_4
2103001@student.ruet.ac.bd,2103001,RUET,CSE,1-1,1101,Theory Course 1-1 (01),theory,3.0,6.6,7.4,41.2,55.1,B-,2.75
2103001@student.ruet.ac.bd,2103001,RUET,CSE,1-1,1103,Theory Course 1-1 (03),theory,3.0,8.0,8.2,39.2,55.4,B-,2.75
2103001@student.ruet.ac.bd,2103001,RUET,CSE,1-1,1105,Theory Course 1-1 (05),theory,3.0,7.9,7.8,60.0,75.7,A+,4.00
2103001@student.ruet.ac.bd,2103001,RUET,CSE,1-1,1107,Theory Course 1-1 (07),theory,3.0,7.8,10.0,56.3,74.0,A+,4.00
2103001@student.ruet.ac.bd,2103001,RUET,CSE,1-1,1109,Theory Course 1-1 (09),theory,3.0,7.6,8.7,43.9,60.2,B+,3.25
2103001@student.ruet.ac.bd,2103001,RUET,CSE,1-1,1102,Sessional/Lab 1-1 (02),lab,1.5,8.6,8.4,44.7,61.6,B+,3.25
2103001@student.ruet.ac.bd,2103001,RUET,CSE,1-1,1104,Sessional/Lab 1-1 (04),lab,1.5,7.6,10.0,53.2,70.8,A,3.75
2103001@student.ruet.ac.bd,2103001,RUET,CSE,1-1,1106,Sessional/Lab 1-1 (06),lab,1.5,9.9,9.3,51.3,70.5,A,3.75
2103001@student.ruet.ac.bd,2103001,RUET,CSE,1-2,1201,Theory Course 1-2 (01),theory,3.0,7.5,8.5,56.1,72.2,A+,4.00
2103001@student.ruet.ac.bd,2103001,RUET,CSE,1-2,1203,Theory Course 1-2 (03),theory,3.0,7.1,10.0,45.6,62.6,B+,3.25
2103001@student.ruet.ac.bd,2103001,RUET,CSE,1-2,1205,Theory Course 1-2 (05),theory,3.0,7.7,10.0,47.8,65.5,A-,3.50
2103001@student.ruet.ac.bd,2103001,RUET,CSE,1-2,1207,Theory Course 1-2 (07),theory,3.0,7.3,10.0,50.1,67.5,A-,3.50
2103001@student.ruet.ac.bd,2103001,RUET,CSE,1-2,1209,Theory Course 1-2 (09),theory,3.0,5.8,10.0,44.5,60.2,B+,3.25
2103001@student.ruet.ac.bd,2103001,RUET,CSE,1-2,1202,Sessional/Lab 1-2 (02),lab,1.5,6.3,10.0,34.9,51.1,C+,2.50
2103001@student.ruet.ac.bd,2103001,RUET,CSE,1-2,1204,Sessional/Lab 1-2 (04),lab,1.5,10.0,9.9,38.5,58.3,B,3.00
2103001@student.ruet.ac.bd,2103001,RUET,CSE,1-2,1206,Sessional/Lab 1-2 (06),lab,1.5,8.6,10.0,59.7,78.4,A+,4.00
2103001@student.ruet.ac.bd,2103001,RUET,CSE,2-1,2101,Theory Course 2-1 (01),theory,3.0,6.3,8.9,45.8,61.0,B+,3.25
2103001@student.ruet.ac.bd,2103001,RUET,CSE,2-1,2103,Theory Course 2-1 (03),theory,3.0,8.9,9.1,45.0,63.0,B+,3.25
2103001@student.ruet.ac.bd,2103001,RUET,CSE,2-1,2105,Theory Course 2-1 (05),theory,3.0,6.1,8.8,60.0,74.9,A+,4.00
2103001@student.ruet.ac.bd,2103001,RUET,CSE,2-1,2107,Theory Course 2-1 (07),theory,3.0,9.5,10.0,47.7,67.2,A-,3.50
2103001@student.ruet.ac.bd,2103001,RUET,CSE,2-1,2109,Theory Course 2-1 (09),theory,3.0,7.7,10.0,51.7,69.4,A,3.75
2103001@student.ruet.ac.bd,2103001,RUET,CSE,2-1,2102,Sessional/Lab 2-1 (02),lab,1.5,9.7,10.0,49.9,69.6,A,3.75
2103001@student.ruet.ac.bd,2103001,RUET,CSE,2-1,2104,Sessional/Lab 2-1 (04),lab,1.5,7.4,8.8,57.1,73.3,A+,4.00
2103001@student.ruet.ac.bd,2103001,RUET,CSE,2-1,2106,Sessional/Lab 2-1 (06),lab,1.5,9.3,9.8,57.2,76.3,A+,4.00
2103001@student.ruet.ac.bd,2103001,RUET,CSE,2-2,2201,Theory Course 2-2 (01),theory,3.0,8.6,10.0,44.7,63.3,B+,3.25
2103001@student.ruet.ac.bd,2103001,RUET,CSE,2-2,2203,Theory Course 2-2 (03),theory,3.0,7.2,7.8,60.0,75.0,A+,4.00
2103001@student.ruet.ac.bd,2103001,RUET,CSE,2-2,2205,Theory Course 2-2 (05),theory,3.0,7.9,9.1,37.3,54.3,B-,2.75
2103001@student.ruet.ac.bd,2103001,RUET,CSE,2-2,2207,Theory Course 2-2 (07),theory,3.0,9.8,9.7,49.6,69.2,A,3.75
2103001@student.ruet.ac.bd,2103001,RUET,CSE,2-2,2209,Theory Course 2-2 (09),theory,3.0,6.6,8.6,49.7,64.9,A-,3.50
2103001@student.ruet.ac.bd,2103001,RUET,CSE,2-2,2202,Sessional/Lab 2-2 (02),lab,1.5,7.5,10.0,59.7,77.2,A+,4.00
2103001@student.ruet.ac.bd,2103001,RUET,CSE,2-2,2204,Sessional/Lab 2-2 (04),lab,1.5,6.3,9.6,41.3,57.3,B,3.00
2103001@student.ruet.ac.bd,2103001,RUET,CSE,2-2,2206,Sessional/Lab 2-2 (06),lab,1.5,8.6,9.8,47.7,66.0,A-,3.50
2103001@student.ruet.ac.bd,2103001,RUET,CSE,3-1,3101,Theory Course 3-1 (01),theory,3.0,7.8,10.0,40.8,58.6,B,3.00
2103001@student.ruet.ac.bd,2103001,RUET,CSE,3-1,3103,Theory Course 3-1 (03),theory,3.0,7.7,7.9,45.0,60.7,B+,3.25
2103001@student.ruet.ac.bd,2103001,RUET,CSE,3-1,3105,Theory Course 3-1 (05),theory,3.0,7.1,10.0,45.6,62.7,B+,3.25
2103001@student.ruet.ac.bd,2103001,RUET,CSE,3-1,3107,Theory Course 3-1 (07),theory,3.0,8.8,9.1,43.4,61.4,B+,3.25
2103001@student.ruet.ac.bd,2103001,RUET,CSE,3-1,3109,Theory Course 3-1 (09),theory,3.0,9.7,9.2,45.1,64.1,A-,3.50
2103001@student.ruet.ac.bd,2103001,RUET,CSE,3-1,3102,Sessional/Lab 3-1 (02),lab,1.5,7.9,10.0,53.5,71.3,A,3.75
2103001@student.ruet.ac.bd,2103001,RUET,CSE,3-1,3104,Sessional/Lab 3-1 (04),lab,1.5,8.3,10.0,55.0,73.3,A+,4.00
2103001@student.ruet.ac.bd,2103001,RUET,CSE,3-1,3106,Sessional/Lab 3-1 (06),lab,1.5,6.6,10.0,42.6,59.2,B,3.00
2103001@student.ruet.ac.bd,2103001,RUET,CSE,3-1,3108,Sessional/Lab 3-1 (08),lab,1.5,7.9,8.4,52.9,69.2,A,3.75
2103001@student.ruet.ac.bd,2103001,RUET,CSE,3-2,3201,Theory Course 3-2 (01),theory,3.0,8.7,8.8,54.5,72.0,A+,4.00
2103001@student.ruet.ac.bd,2103001,RUET,CSE,3-2,3203,Theory Course 3-2 (03),theory,3.0,7.5,10.0,39.3,56.8,B,3.00
2103001@student.ruet.ac.bd,2103001,RUET,CSE,3-2,3205,Theory Course 3-2 (05),theory,3.0,6.4,9.4,60.0,75.9,A+,4.00
2103001@student.ruet.ac.bd,2103001,RUET,CSE,3-2,3207,Theory Course 3-2 (07),theory,3.0,7.8,8.0,58.0,73.8,A+,4.00
2103001@student.ruet.ac.bd,2103001,RUET,CSE,3-2,3209,Theory Course 3-2 (09),theory,3.0,8.4,8.2,50.2,66.8,A-,3.50
2103001@student.ruet.ac.bd,2103001,RUET,CSE,3-2,3202,Sessional/Lab 3-2 (02),lab,1.5,9.5,10.0,58.2,77.7,A+,4.00
2103001@student.ruet.ac.bd,2103001,RUET,CSE,3-2,3204,Sessional/Lab 3-2 (04),lab,1.5,8.4,10.0,43.2,61.7,B+,3.25
2103001@student.ruet.ac.bd,2103001,RUET,CSE,3-2,3206,Sessional/Lab 3-2 (06),lab,1.5,9.5,10.0,58.4,77.9,A+,4.00
2103001@student.ruet.ac.bd,2103001,RUET,CSE,3-2,3208,Sessional/Lab 3-2 (08),lab,1.5,8.4,8.3,47.3,64.0,A-,3.50
2103002@student.ruet.ac.bd,2103002,RUET,CSE,1-1,1101,Theory Course 1-1 (01),theory,3.0,6.8,5.5,52.7,65.0,A-,3.50
