student_email,attendance_pct,assignments_pct,quizzes_pct,exams_pct,gpa,term
2103001@student.ruet.ac.bd,80,87,83,81,3.40,1-1
2103001@student.ruet.ac.bd,75,98,90,79,3.41,1-2
2103001@student.ruet.ac.bd,81,94,95,86,3.49,2-1
2103001@student.ruet.ac.bd,78,93,93,81,3.48,2-2
2103001@student.ruet.ac.bd,80,94,90,79,3.45,3-1
2103001@student.ruet.ac.bd,83,92,92,87,3.50,3-2
2103002@student.ruet.ac.bd,65,69,66,65,1.98,1-1
2103002@student.ruet.ac.bd,63,65,61,69,2.38,1-2
2103002@student.ruet.ac.bd,68,61,66,73,2.55,2-1
2103002@student.ruet.ac.bd,70,70,69,59,2.52,2-2
2103002@student.ruet.ac.bd,70,64,66,63,2.52,3-1
2103002@student.ruet.ac.bd,66,67,62,68,2.47,3-2
2103003@student.ruet.ac.bd,68,77,72,71,2.96,1-1
2103003@student.ruet.ac.bd,65,81,83,63,2.77,1-2
2103003@student.ruet.ac.bd,69,73,66,60,2.68,2-1
2103003@student.ruet.ac.bd,65,77,71,63,2.67,2-2
2103003@student.ruet.ac.bd,63,76,73,75,2.77,3-1
2103003@student.ruet.ac.bd,70,81,80,70,2.80,3-2
2103004@student.ruet.ac.bd,77,56,55,47,1.54,1-1
2103004@student.ruet.ac.bd,73,64,62,53,1.57,1-2
2103004@student.ruet.ac.bd,77,68,61,49,1.56,2-1
2103004@student.ruet.ac.bd,79,52,66,55,1.71,2-2
2103004@student.ruet.ac.bd,70,64,62,44,1.52,3-1
2103004@student.ruet.ac.bd,72,63,65,54,1.58,3-2
2103005@student.ruet.ac.bd,85,73,79,62,2.65,1-1
2103005@student.ruet.ac.bd,87,83,82,54,2.50,1-2
2103005@student.ruet.ac.bd,78,84,85,57,2.42,2-1
2103005@student.ruet.ac.bd,78,84,80,61,2.43,2-2
2103005@student.ruet.ac.bd,82,87,79,59,2.47,3-1
2103005@student.ruet.ac.bd,86,88,82,59,2.49,3-2
2103006@student.ruet.ac.bd,83,92,91,62,2.48,1-1
2103006@student.ruet.ac.bd,87,92,94,62,2.65,1-2
2103006@student.ruet.ac.bd,82,90,85,55,2.55,2-1
2103006@student.ruet.ac.bd,81,88,87,66,2.64,2-2
2103006@student.ruet.ac.bd,83,86,88,65,2.70,3-1
2103006@student.ruet.ac.bd,88,93,90,62,2.71,3-2
2103007@student.ruet.ac.bd,98,64,72,82,3.38,1-1
2103007@student.ruet.ac.bd,90,66,66,84,3.48,1-2
2103007@student.ruet.ac.bd,87,63,67,81,3.40,2-1
2103007@student.ruet.ac.bd,95,72,67,85,3.44,2-2
2103007@student.ruet.ac.bd,90,76,76,79,3.42,3-1
2103007@student.ruet.ac.bd,97,63,61,74,3.36,3-2
2103008@student.ruet.ac.bd,89,65,64,59,2.52,1-1
2103008@student.ruet.ac.bd,90,66,65,56,2.40,1-2
2103008@student.ruet.ac.bd,90,77,78,56,2.40,2-1
2103008@student.ruet.ac.bd,93,71,60,59,2.47,2-2
2103008@student.ruet.ac.bd,87,67,64,56,2.39,3-1
2103008@student.ruet.ac.bd,93,68,70,53,2.34,3-2
2103009@student.ruet.ac.bd,62,75,81,82,3.40,1-1
2103009@student.ruet.ac.bd,59,76,64,83,3.37,1-2
2103009@student.ruet.ac.bd,69,67,66,81,3.34,2-1
2103009@student.ruet.ac.bd,66,66,66,78,3.28,2-2
2103009@student.ruet.ac.bd,62,77,73,82,3.30,3-1
2103009@student.ruet.ac.bd,61,72,70,77,3.25,3-2
2103010@student.ruet.ac.bd,96,82,78,87,3.67,1-1
2103010@student.ruet.ac.bd,95,79,79,91,3.75,1-2
2103010@student.ruet.ac.bd,94,83,77,88,3.72,2-1
2103010@student.ruet.ac.bd,98,82,88,81,3.64,2-2
2103010@student.ruet.ac.bd,92,83,86,84,3.64,3-1
2103010@student.ruet.ac.bd,94,83,84,74,3.56,3-2
