student_roll,email,full_name,password,university,department,program
2103001,2103001@student.ruet.ac.bd,Tamim Chowdhury,2103001Pass,RUET,CSE,BSc in Engineering
2103002,2103002@student.ruet.ac.bd,Imran Nashad,2103002Pass,RUET,CSE,BSc in Engineering
2103003,2103003@student.ruet.ac.bd,Nafis Khatun,2103003Pass,RUET,CSE,BSc in Engineering
2103004,2103004@student.ruet.ac.bd,Ayesha Roy,2103004Pass,RUET,CSE,BSc in Engineering
2103005,2103005@student.ruet.ac.bd,Farhan Mahmud,2103005Pass,RUET,CSE,BSc in Engineering
2103006,2103006@student.ruet.ac.bd,Tanvir Rahman,2103006Pass,RUET,CSE,BSc in Engineering
2103007,2103007@student.ruet.ac.bd,Tanjila Ahmed,2103007Pass,RUET,CSE,BSc in Engineering
2103008,2103008@student.ruet.ac.bd,Tanjila Hossain,2103008Pass,RUET,CSE,BSc in Engineering
2103009,2103009@student.ruet.ac.bd,Arafat Das,2103009Pass,RUET,CSE,BSc in Engineering
2103010,2103010@student.ruet.ac.bd,Nafis Das,2103010Pass,RUET,CSE,BSc in Engineering
2103011,2103011@student.ruet.ac.bd,Imran Chowdhury,2103011Pass,RUET,CSE,BSc in Engineering
2103012,2103012@student.ruet.ac.bd,Imran Jahan,2103012Pass,RUET,CSE,BSc in Engineering
2103013,2103013@student.ruet.ac.bd,Tamim Islam,2103013Pass,RUET,CSE,BSc in Engineering
2103014,2103014@student.ruet.ac.bd,Sadia Khan,2103014Pass,RUET,CSE,BSc in Engineering
2103015,2103015@student.ruet.ac.bd,Zarin Chowdhury,2103015Pass,RUET,CSE,BSc in Engineering
2103016,2103016@student.ruet.ac.bd,Farhan Rahman,2103016Pass,RUET,CSE,BSc in Engineering
2103017,2103017@student.ruet.ac.bd,Rafi Khatun,2103017Pass,RUET,CSE,BSc in Engineering
2103018,2103018@student.ruet.ac.bd,Rafi Das,2103018Pass,RUET,CSE,BSc in Engineering
2103019,2103019@student.ruet.ac.bd,Nusrat Chowdhury,2103019Pass,RUET,CSE,BSc in Engineering
2103020,2103020@student.ruet.ac.bd,Imran Khatun,2103020Pass,RUET,CSE,BSc in Engineering
2103021,2103021@student.ruet.ac.bd,Farhan Rahman,2103021Pass,RUET,CSE,BSc in Engineering
2103022,2103022@student.ruet.ac.bd,Mehedi Nashad,2103022Pass,RUET,CSE,BSc in Engineering
2103023,2103023@student.ruet.ac.bd,Nusrat Hossain,2103023Pass,RUET,CSE,BSc in Engineering
2103024,2103024@student.ruet.ac.bd,Zarin Mahmud,2103024Pass,RUET,CSE,BSc in Engineering
2103025,2103025@student.ruet.ac.bd,Tamim Khan,2103025Pass,RUET,CSE,BSc in Engineering
2103026,2103026@student.ruet.ac.bd,Tanvir Islam,2103026Pass,RUET,CSE,BSc in Engineering
2103027,2103027@student.ruet.ac.bd,Nusrat Mahmud,2103027Pass,RUET,CSE,BSc in Engineering
2103028,2103028@student.ruet.ac.bd,Imran Islam,2103028Pass,RUET,CSE,BSc in Engineering
2103029,2103029@student.ruet.ac.bd,Sabbir Roy,2103029Pass,RUET,CSE,BSc in Engineering
2103030,2103030@student.ruet.ac.bd,Sadia Ahmed,2103030Pass,RUET,CSE,BSc in Engineering
2103031,2103031@student.ruet.ac.bd,Tanjila Miah,2103031Pass,RUET,CSE,BSc in Engineering
2103032,2103032@student.ruet.ac.bd,Tanvir Nashad,2103032Pass,RUET,CSE,BSc in Engineering
2103033,2103033@student.ruet.ac.bd,Nafis Sarker,2103033Pass,RUET,CSE,BSc in Engineering
2103034,2103034@student.ruet.ac.bd,Ayesha Chowdhury,2103034Pass,RUET,CSE,BSc in Engineering
2103035,2103035@student.ruet.ac.bd,Sadia Das,2103035Pass,RUET,CSE,BSc in Engineering
2103036,2103036@student.ruet.ac.bd,Hasan Das,2103036Pass,RUET,CSE,BSc in Engineering
2103037,2103037@student.ruet.ac.bd,Nabila Mahmud,2103037Pass,RUET,CSE,BSc in Engineering
2103038,2103038@student.ruet.ac.bd,Sadia Chowdhury,2103038Pass,RUET,CSE,BSc in Engineering
2103039,2103039@student.ruet.ac.bd,Sadia Khatun,2103039Pass,RUET,CSE,BSc in Engineering
2103040,2103040@student.ruet.ac.bd,Ayesha Islam,2103040Pass,RUET,CSE,BSc in Engineering
2103041,2103041@student.ruet.ac.bd,Tamim Rahman,2103041Pass,RUET,CSE,BSc in Engineering
2103042,2103042@student.ruet.ac.bd,Imran Das,2103042Pass,RUET,CSE,BSc in Engineering
2103043,2103043@student.ruet.ac.bd,Arafat Sarker,2103043Pass,RUET,CSE,BSc in Engineering
2103044,2103044@student.ruet.ac.bd,Raisa Miah,2103044Pass,RUET,CSE,BSc in Engineering
2103045,2103045@student.ruet.ac.bd,Mashfiq Sarker,2103045Pass,RUET,CSE,BSc in Engineering
2103046,2103046@student.ruet.ac.bd,Tanvir Chowdhury,2103046Pass,RUET,CSE,BSc in Engineering
2103047,2103047@student.ruet.ac.bd,Farhan Haque,2103047Pass,RUET,CSE,BSc in Engineering
2103048,2103048@student.ruet.ac.bd,Tamim Sarker,2103048Pass,RUET,CSE,BSc in Engineering
2103049,2103049@student.ruet.ac.bd,Sadia Chowdhury,2103049Pass,RUET,CSE,BSc in Engineering
2103050,2103050@student.ruet.ac.bd,Tanjila Mahmud,2103050Pass,RUET,CSE,BSc in Engineering
2103051,2103051@student.ruet.ac.bd,Farhan Miah,2103051Pass,RUET,CSE,BSc in Engineering
2103052,2103052@student.ruet.ac.bd,Tamim Khatun,2103052Pass,RUET,CSE,BSc in Engineering
2103053,2103053@student.ruet.ac.bd,Rafi Sarker,2103053Pass,RUET,CSE,BSc in Engineering
